Env,k,y,p,method
PH_LosB_2019W,300170400,5.3347,5.401340331198854,ridge_pc5_lo
PH_LosB_2019W,300172737,4.6842,5.341485280462584,ridge_pc5_lo
PH_LosB_2019W,300173154,5.7575,5.330087963356591,ridge_pc5_lo
PH_LosB_2019W,300174086,5.7828,5.305073685196511,ridge_pc5_lo
PH_LosB_2019W,300174380,5.3266,5.3421334029252945,ridge_pc5_lo
PH_LosB_2019W,300233098,3.6838,5.344596141083154,ridge_pc5_lo
PH_LosB_2019W,300233776,5.3675,5.398107670521936,ridge_pc5_lo
PH_LosB_2019W,300252036,4.9901,5.291489824794527,ridge_pc5_lo
PH_LosB_2019W,300258387,5.4287,5.342805452731226,ridge_pc5_lo
PH_LosB_2019W,300266828,4.7865,5.16998200904893,ridge_pc5_lo
PH_LosB_2019W,300266831,4.9264,5.398911026043443,ridge_pc5_lo
PH_LosB_2019W,300266832,4.9362,5.321853955812139,ridge_pc5_lo
PH_LosB_2019W,300266835,5.5971,5.343402980325506,ridge_pc5_lo
PH_LosB_2019W,300266839,3.9518,5.498926034101251,ridge_pc5_lo
PH_LosB_2019W,300266846,4.838,5.240879018660577,ridge_pc5_lo
PH_LosB_2019W,300266848,5.2123,5.181113859702118,ridge_pc5_lo
PH_LosB_2019W,300279864,5.5679,5.433591859642146,ridge_pc5_lo
PH_LosB_2019W,300279868,5.4778,5.255543081989309,ridge_pc5_lo
PH_LosB_2019W,300287234,5.1829,5.293790846293462,ridge_pc5_lo
PH_LosB_2019W,300293456,5.6562,5.322090260538718,ridge_pc5_lo
PH_LosB_2019W,300293539,6.6791,5.269323537062545,ridge_pc5_lo
PH_LosB_2019W,300293562,5.6817,5.256444549523201,ridge_pc5_lo
PH_LosB_2019W,300294018,4.0186,5.261155051813359,ridge_pc5_lo
PH_LosB_2019W,300294074,4.938,5.287269440073423,ridge_pc5_lo
PH_LosB_2019W,300294080,5.9943,5.216276341345923,ridge_pc5_lo
PH_LosB_2019W,300296708,5.1899,5.386101341231953,ridge_pc5_lo
PH_LosB_2019W,300431704,5.7508,5.332954049050455,ridge_pc5_lo
PH_LosB_2019W,300764175,5.5069,5.312802055927117,ridge_pc5_lo
PH_LosB_2019W,300764179,4.188,5.314424300309314,ridge_pc5_lo
PH_LosB_2019W,300764184,4.7405,5.387244079603045,ridge_pc5_lo
PH_LosB_2019W,3022947,5.0615,5.334083303838331,ridge_pc5_lo
PH_LosB_2019W,3173051,5.0606,5.32100685809959,ridge_pc5_lo
PH_LosB_2019W,3272808,4.6936,5.28965466490317,ridge_pc5_lo
PH_LosB_2019W,3423716,5.8454,5.296725221017868,ridge_pc5_lo
PH_LosB_2019W,3425601,4.7996,5.271619416209407,ridge_pc5_lo
PH_LosB_2019W,3425772,5.7719,5.328646084641116,ridge_pc5_lo
PH_LosB_2019W,3425923,5.5942,5.302531398844489,ridge_pc5_lo
PH_LosB_2019W,3426973,4.9751,5.136577571579377,ridge_pc5_lo
PH_LosB_2019W,3427347,3.8276,5.338132543167936,ridge_pc5_lo
PH_LosB_2019W,3523215,4.9719,5.266124770580328,ridge_pc5_lo
PH_LosB_2019W,3592078,3.931,5.314798596505421,ridge_pc5_lo
PH_LosB_2019W,3592657,4.7293,5.430204266559933,ridge_pc5_lo
PH_LosB_2019W,3593039,4.9708,5.410082455461888,ridge_pc5_lo
PH_LosB_2019W,3658769,5.856,5.2838859162180185,ridge_pc5_lo
PH_LosB_2019W,3806774,4.9095,5.535766644344981,ridge_pc5_lo
PH_LosB_2019W,3806855,4.9124,5.28832608833759,ridge_pc5_lo
PH_LosB_2019W,4016512,5.8033,5.20921034511625,ridge_pc5_lo
PH_LosB_2019W,4016513,5.4124,5.3815684472557095,ridge_pc5_lo
PH_LosB_2019W,4189053,5.6857,5.2838859162180185,ridge_pc5_lo
PH_LosB_2019W,4193103,6.0483,5.392783263106447,ridge_pc5_lo
PH_LosB_2019W,4214820,5.5014,5.303640373564887,ridge_pc5_lo
PH_LosB_2019W,4220423,3.563,5.448656587609168,ridge_pc5_lo
PH_LosB_2019W,4226523,4.5571,5.500919496090026,ridge_pc5_lo
PH_LosB_2019W,4228927,5.8261,5.255386607872851,ridge_pc5_lo
PH_LosB_2019W,4228929,5.8261,5.366336938864791,ridge_pc5_lo
PH_LosB_2019W,4229118,5.6697,5.314477701939183,ridge_pc5_lo
PH_LosB_2019W,4229178,5.3637,5.185745180549776,ridge_pc5_lo
PH_LosB_2019W,4535979,4.9643,5.357397395578681,ridge_pc5_lo
PH_LosB_2019W,4609623,5.7356,5.328634103431754,ridge_pc5_lo
PH_LosB_2019W,4609631,4.6642,5.3360336006464175,ridge_pc5_lo
PH_LosB_2019W,4789033,5.7536,5.53107856908195,ridge_pc5_lo
PH_LosB_2019W,4789041,5.296,5.503092456129275,ridge_pc5_lo
PH_LosB_2019W,4789051,6.0989,5.41443296297502,ridge_pc5_lo
PH_LosB_2019W,4789056,5.6641,5.481570108568952,ridge_pc5_lo
PH_LosB_2019W,4789719,5.9017,5.55182256054004,ridge_pc5_lo
PH_LosB_2019W,4789765,5.6189,5.49890593448092,ridge_pc5_lo
PH_LosB_2019W,4789819,5.5998,5.44245005240611,ridge_pc5_lo
PH_LosB_2019W,4815752,4.9276,5.346126173244612,ridge_pc5_lo
PH_LosB_2019W,4815880,5.4703,5.358222400518836,ridge_pc5_lo
MO_Chok_2020W,1253957,5.9488,6.05116498679971,ridge_pc5_lo
MO_Chok_2020W,1384968,5.9327,6.0231783607199025,ridge_pc5_lo
MO_Chok_2020W,1401800,6.0306,6.183172934205766,ridge_pc5_lo
MO_Chok_2020W,2337754,6.02,6.15373982740686,ridge_pc5_lo
MO_Chok_2020W,2451001,5.8466,6.06347460258495,ridge_pc5_lo
MO_Chok_2020W,2642849,6.1673,5.955933159717915,ridge_pc5_lo
MO_Chok_2020W,2696701,5.6848,6.113365420034452,ridge_pc5_lo
MO_Chok_2020W,2697338,6.4461,6.024158805340694,ridge_pc5_lo
MO_Chok_2020W,2697419,6.0243,5.958765712157464,ridge_pc5_lo
MO_Chok_2020W,2697451,6.1104,6.136599555102912,ridge_pc5_lo
MO_Chok_2020W,2697797,5.8876,5.956899285919867,ridge_pc5_lo
MO_Chok_2020W,2858722,5.9586,6.03939950375383,ridge_pc5_lo
MO_Chok_2020W,2971736,6.0869,6.017745339000895,ridge_pc5_lo
MO_Chok_2020W,2972293,6.232,5.9206797849830615,ridge_pc5_lo
MO_Chok_2020W,2972309,5.9892,6.077050328077052,ridge_pc5_lo
MO_Chok_2020W,2972722,5.7311,6.010072064027694,ridge_pc5_lo
MO_Chok_2020W,2972796,5.9831,5.952595557876127,ridge_pc5_lo
MO_Chok_2020W,300034581,6.4116,5.963474446867232,ridge_pc5_lo
MO_Chok_2020W,300035917,6.0048,5.895370142796027,ridge_pc5_lo
MO_Chok_2020W,300038124,6.2891,6.009955515262274,ridge_pc5_lo
MO_Chok_2020W,300038265,6.0139,6.058446766142719,ridge_pc5_lo
MO_Chok_2020W,300038266,5.7446,6.0036142644542725,ridge_pc5_lo
MO_Chok_2020W,300038744,6.0806,5.876766653894296,ridge_pc5_lo
MO_Chok_2020W,300039577,5.8371,5.9189044944511116,ridge_pc5_lo
MO_Chok_2020W,300040799,6.0848,5.946152754021319,ridge_pc5_lo
MO_Chok_2020W,300080634,5.7487,6.005827829655343,ridge_pc5_lo
MO_Chok_2020W,300166640,6.0036,5.981026518283726,ridge_pc5_lo
MO_Chok_2020W,300166641,5.9927,5.990183570628717,ridge_pc5_lo
MO_Chok_2020W,300172737,6.4213,6.0386284720622125,ridge_pc5_lo
MO_Chok_2020W,300173154,5.9636,6.027231154956219,ridge_pc5_lo
MO_Chok_2020W,300174086,5.9299,5.953946393676846,ridge_pc5_lo
MO_Chok_2020W,300174380,6.1294,5.991006111405629,ridge_pc5_lo
MO_Chok_2020W,300252036,5.8291,5.9880192251475215,ridge_pc5_lo
MO_Chok_2020W,300258387,5.4201,6.039948644330854,ridge_pc5_lo
MO_Chok_2020W,300266828,5.6995,5.866511409401924,ridge_pc5_lo
MO_Chok_2020W,300266831,5.9785,6.056797178178233,ridge_pc5_lo
MO_Chok_2020W,300266832,5.881,6.018383356165133,ridge_pc5_lo
MO_Chok_2020W,300266835,6.2866,6.039932380678501,ridge_pc5_lo
MO_Chok_2020W,300266839,6.3704,6.15681218623604,ridge_pc5_lo
MO_Chok_2020W,300266846,5.4168,5.938022210260205,ridge_pc5_lo
MO_Chok_2020W,300266848,5.7875,5.849891829470275,ridge_pc5_lo
MO_Chok_2020W,300279864,5.8362,6.102369829410303,ridge_pc5_lo
MO_Chok_2020W,300287234,5.8466,5.951676998428252,ridge_pc5_lo
MO_Chok_2020W,300293456,6.278,6.018619660891712,ridge_pc5_lo
MO_Chok_2020W,300293539,6.4267,5.9381015068307015,ridge_pc5_lo
MO_Chok_2020W,300293562,5.7672,5.9529739498761955,ridge_pc5_lo
MO_Chok_2020W,300294018,5.7475,5.929933021581516,ridge_pc5_lo
MO_Chok_2020W,300294074,6.174,5.9837988404264175,ridge_pc5_lo
MO_Chok_2020W,300294080,6.3199,5.912805741698917,ridge_pc5_lo
MO_Chok_2020W,300296708,6.2959,6.043987493366743,ridge_pc5_lo
MO_Chok_2020W,300431704,6.2832,6.001732018818612,ridge_pc5_lo
MO_Chok_2020W,300764175,6.5412,5.9616747644074515,ridge_pc5_lo
MO_Chok_2020W,300764179,5.2405,6.011567491908942,ridge_pc5_lo
MO_Chok_2020W,300764184,5.741,6.083773479956039,ridge_pc5_lo
