method,RMSE,MAE,normalized_RMSE,relative_RMSE,normalized_MAE,realative_MAE,r2_score,pearson_r,r2_pearson,spearman_r,lineRegressSlope,mean_RMSE,mean_MAE,mean_normalized_RMSE,mean_relative_RMSE,mean_normalized_MAE,mean_realative_MAE,mean_r2_score,mean_pearson_r,mean_r2_pearson,mean_spearman_r,mean_lineRegressSlope
markeronly_pc100__noise0.5,14.48213685983212,11.41155016062419,0.9716086672143922,0.2395186981904121,0.7656025591890989,0.18873455383427296,0.05597659779387221,0.27040634685249887,0.07311959241811393,0.2429454753869501,0.6802076730694789,13.454042881937578,11.829161321868735,1.9288626236662383,0.2510641514691189,1.6962226272916499,0.2219060553094365,-3.6550543386122563,0.24720715689537331,0.10062264848238336,0.23900960531100482,0.36988200885135497
markeronly_pc100__noise1.5,16.375182223895667,12.96156537904568,1.098613355884037,0.2708275972572002,0.8695933055208518,0.2143701096148131,-0.206951305726786,0.16044300773446168,0.025741958730880532,0.15309138766098726,0.24997740492866133,15.731095893166806,13.336585343341687,2.289294502480504,0.29120361149138174,1.9364858339214168,0.2483067492322405,-5.1161864381681115,0.12665769009217945,0.045681143580160274,0.11971356971540323,0.10396228459600469
markeronly_pc100__shrunk,14.560153347454767,11.583761654916357,0.9768428047103602,0.2408090055348064,0.7771562533757834,0.19158274352654767,0.0457781348855969,0.30836567016782707,0.09508938653805311,0.27200014340043616,3.4755618208149377,13.621756195885249,12.187110374960078,1.9496161420461828,0.257211667077244,1.7509614035772938,0.2319186733119842,-3.79926489852853,0.30219028998688313,0.13366341842518328,0.2870802817940384,2.2535978007915514
markeronly_pc25,14.26268182917037,11.248421182059243,0.9568853973048143,0.23588915209758166,0.7546582123028915,0.1860365790145915,0.08437033642480762,0.2944938389736147,0.0867266211934173,0.2602096206603451,0.9532945878809114,13.126824551790364,11.664472090512312,1.8767961809233287,0.2450918939499773,1.6703358883260047,0.21894589123096053,-3.5050421009803454,0.2862645396675621,0.12847517179752133,0.2749010149840371,0.6205987940859425
mlp,13.673272713716099,10.883873069686802,0.9173418540657693,0.22614097022348728,0.7302006264489614,0.18000735210227026,0.15848392277917678,0.46667950661884144,0.21778976189800528,0.4465769514037888,0.6598134708430801,13.046838557955207,11.49323820699334,1.94433854460529,0.2466485809904173,1.7312785660013272,0.2190430175682595,-4.211374955456539,0.23560619784607342,0.09926572844764911,0.22199223037046026,0.532248835925885
mlp__biased,18.506903704708936,14.91271011226022,1.2416308599230979,0.30608393815017326,1.0004958893128224,0.24663990867857105,-0.5416471923133712,0.46667950661884133,0.21778976189800517,0.4465769514037888,0.6598134708430802,16.6132906343111,15.023442322875097,2.4662980735871636,0.3297067932449491,2.254433469256191,0.3027514239960444,-7.361771173140902,0.23560619784607342,0.09926572844764914,0.22199223037046026,0.5322488359258848
mlp__inflated,27.977877881058088,22.177930682565943,1.8770398942229711,0.46272348846446687,1.487920593529791,0.36679870775002266,-2.523278764504583,0.46667950661884133,0.21778976189800517,0.4465769514037888,0.21993782361436018,26.173713984148858,23.925200918250866,4.044543367317045,0.46279707557237576,3.719795432615078,0.4217784756683151,-25.684843211468483,0.23560619784607342,0.09926572844764911,0.22199223037046026,0.17741627864196163
mlp__shrunk,13.883884084134548,11.033355038660693,0.9314718015240091,0.2296242518520874,0.7402293934778202,0.18247962031504153,0.13236028296561697,0.46667950661884133,0.21778976189800517,0.4465769514037888,2.6392538833723203,13.09518544240584,11.627804612790708,1.8893020666783549,0.2512851521190354,1.6860707603351288,0.2254052642235677,-3.5510621457911293,0.23560619784607342,0.09926572844764914,0.22199223037046026,2.12899534370354
reaction_norm,13.830946301230334,10.99520587986456,0.9279201979733267,0.22874871884414627,0.7376699608683918,0.1818486749690372,0.13896410619314226,0.4486444181393022,0.20128181392755307,0.4244571310806148,0.6426837942642623,13.249001092539837,11.67565386542203,1.9813699417581034,0.24950786630676758,1.766471296452081,0.2218141738839812,-4.485018609715294,0.15043538595014427,0.07190554144404998,0.13381543245453265,0.3941189000301581
reaction_norm__biased,18.164015160732824,14.612354890882784,1.2186264176615589,0.3004129368005481,0.9803450138475565,0.24167236194735958,-0.48505034582264406,0.44864441813930234,0.20128181392755315,0.4244571310806148,0.6426837942642623,16.678904121210167,15.017138869884112,2.47988604123508,0.3306738669444251,2.2588375472166455,0.30254961219380655,-7.329003129162914,0.15043538595014427,0.07190554144404995,0.13381543245453265,0.394118900030158
