dataset,dr,dg
spring wheat,0.13050895815282598,0.04136014116183098
spring wheat,0.15712178103033958,0.296373358163167
spring wheat,0.15699262665550687,0.296373358163167
spring wheat,0.06714932883407146,0.0709756551343815
spring wheat,0.06772732192669087,0.0709756551343815
spring wheat,0.28714863499094667,0.337733499324998
spring wheat,0.28701948061611393,0.337733499324998
spring wheat,0.06287752512653562,-0.029615513972550515
spring wheat,0.0622995320339162,-0.029615513972550515
spring wheat,0.28763073918316556,0.337733499324998
spring wheat,0.2875015848083328,0.337733499324998
spring wheat,0.0633596293187545,-0.029615513972550515
spring wheat,0.0627816362261351,-0.029615513972550515
spring wheat,0.2242711098644111,0.36734901329754843
spring wheat,0.22484910295703045,0.36734901329754843
spring wheat,0.22414195548957833,0.36734901329754843
spring wheat,0.2247199485821977,0.36734901329754843
soybean,0.0553150835657852,0.057676754042257576
soybean,0.011464670976340026,0.02132366775680251
soybean,0.062486649175742544,0.05616207577446632
soybean,0.12003730536266341,0.07738373788042152
soybean,0.13850189803862314,0.15699290487455664
soybean,0.009969088240008044,0.03181204253402395
soybean,0.03340740358448684,0.08146318003773712
soybean,0.062486649175742544,0.05616207577446632
soybean,0.07095454665101765,0.11972949134083792
soybean,0.03588794648494305,0.12105274866532942
soybean,0.011929281439703454,0.07825324844191388
soybean,0.08054895357950857,-0.004059259340063367
soybean,0.06462320326018756,-0.06954164823876999
soybean,0.01396486143869893,-0.07074343568902962
soybean,0.07120595045723022,0.11937034958187875
soybean,0.044425232139540666,0.03377112488698088
soybean,0.025573040537699505,0.01978572978888876
soybean,0.059757837983837,0.0858444458810911
soybean,0.06021820201450059,0.08161763959146902
soybean,0.07047407705643596,0.12099771731912559
soybean,0.07076173074986931,0.12239264356264774
soybean,0.0636820877333472,0.11065918010838997
soybean,0.06397365819550603,0.10995579330913643
soybean,0.05228079554604623,0.07824493492285194
soybean,0.05262190872492932,0.07691403220946769
soybean,0.043850412589445165,0.036353086285455076
soybean,0.007171565609957353,-0.0015146782677912451
soybean,0.17535238892844862,0.1350604919226791
soybean,0.19381698160440836,0.2146696589168142
soybean,0.04534599532577715,0.025864711508233638
soybean,0.021907679981298358,-0.023786425995479525
soybean,0.007171565609957346,-0.0015146782677912451
soybean,0.01563946308523246,0.06205273729858034
soybean,0.019427137080842143,-0.06337599462307184
soybean,0.04338580212608174,-0.02057649439965631
soybean,0.13586403714529377,0.0536174947021942
soybean,0.11993828682597277,-0.011864894196512397
soybean,0.06927994500448413,-0.013066681646772037
soybean,0.015890866891445015,0.061693595539621185
soybean,0.010889851426244532,0.023905629155276702
soybean,0.02974204302808569,0.03789102425336882
soybean,0.004442754418051818,0.028167691838833532
soybean,0.004903118448715389,0.023940885549211435
soybean,0.015158993490650769,0.06332096327686801
soybean,0.015446647184084132,0.06471588952039016
soybean,0.008367004167562005,0.05298242606613239
soybean,0.008658574629720828,0.05227903926687884
soybean,0.003034288019738971,-0.02056818088059436
