Env,H2,r_max,entries,nrep
ONH2_2014,0.8074369344856444,0.8985749465045442,230,2.0478260869565217
ONH2_2015,0.7099810172727449,0.84260371306608,128,2.03125
ONH2_2016,0.39793254636246345,0.630818948956405,214,2.0700934579439254
ONH2_2017,0.4839238407867688,0.6956463474976123,176,2.022727272727273
SCH1_2018,0.13006506210561172,0.3606453411672078,102,2.0784313725490198
SCH1_2019,0.35780639381869356,0.5981692016634537,23,2.1739130434782608
SCH1_2021,0.5569851232402627,0.7463143595297244,112,2.482142857142857
SDH1_2015,0.4804088497483834,0.6931153221134152,128,2.03125
TXH1-Dry_2017,0.8612955962131895,0.9280601253222711,139,2.028776978417266
TXH1-Dry_2018,0.20481550881098534,0.4525654746122215,90,2.066666666666667
TXH1-Early_2017,0.8725608328626528,0.9341096471307064,191,2.031413612565445
TXH1-Early_2018,0.354383410629313,0.5953011092122313,62,2.096774193548387
TXH1-Late_2017,0.6598472066372805,0.8123097972062632,141,2.028368794326241
TXH1-Late_2018,0.17916375688331096,0.4232773994478219,58,2.103448275862069
TXH1_2014,0.8163999485085102,0.9035485313520852,244,2.0081967213114753
TXH1_2015,0.7917327361515851,0.8897936480732963,156,2.0256410256410255
TXH1_2016,0.7302915214694187,0.8545709575391728,224,2.044642857142857
TXH1_2019,0.5685420596797203,0.7540172807566947,94,2.0425531914893615
TXH1_2020,0.4702862497267887,0.6857741973323207,248,2.2096774193548385
TXH1_2021,0.16383153369414194,0.4047610822375861,268,2.156716417910448
TXH2_2014,0.5311066200288729,0.7287706223695305,249,2.0080321285140563
TXH2_2015,0.4685912648391149,0.6845372632947858,171,2.0350877192982457
TXH2_2016,0.6503604555849686,0.8064492889109448,210,2.085714285714286
TXH2_2017,0.725109371089053,0.8515335407892357,139,2.1079136690647484
TXH2_2019,0.5766874276403909,0.7593993861206308,25,2.12
TXH2_2021,0.30584681971346717,0.5530341939821327,244,2.0081967213114753
TXH3_2019,0.8127758566009217,0.9015408235908797,27,2.1481481481481484
TXH3_2020,0.14549685378819444,0.38144049835877997,267,2.209737827715356
TXH3_2021,0.8068660410533169,0.8982572243257033,241,2.195020746887967
TXH4_2019,0.6090123954765543,0.7803924624677985,101,2.0396039603960396
WIH1_2014,0.8711633847637232,0.9333613366557044,197,2.472081218274112
WIH1_2015,0.876494609272153,0.9362129080888347,59,2.0508474576271185
WIH1_2016,0.7545358034522509,0.8686402036817378,318,2.0943396226415096
WIH1_2017,0.7551999322119554,0.8690224002935456,283,2.1201413427561837
WIH1_2018,0.7400611321681615,0.8602680583214523,238,2.6176470588235294
WIH1_2019,0.2599263766313989,0.5098297525953138,178,2.0224719101123596
WIH1_2020,0.5704975272988746,0.7553128671609366,92,2.0434782608695654
WIH1_2021,0.7520387261105472,0.8672016640381562,97,2.0
WIH2_2015,0.2090469808614484,0.4572165579475971,77,2.038961038961039
WIH2_2016,0.7325685379061826,0.8559021777669353,390,2.0923076923076924
WIH2_2017,0.7000050758254156,0.836663059914453,289,2.0899653979238755
WIH2_2019,0.49183851201695383,0.7013119933502876,331,2.132930513595166
WIH2_2020,0.5852412130822439,0.7650105967123879,228,2.6271929824561404
WIH2_2021,0.6521673301710066,0.8075687773626508,246,2.7195121951219514
WIH3_2020,0.5123459800901585,0.7157834729093419,106,2.490566037735849
WIH3_2021,0.6813626544632897,0.8254469422460111,109,2.458715596330275
