dataset,unit,s2g,s2e,entries,plots,n0,n_harm,n_bar,frac_single,ceiling_n1,ceiling_n2,ceiling_n3,ceiling_n4,ceiling_n_harm,ceiling_inf,H2_n1,H2_n2,legacy_H2,legacy_ceiling,legacy_nbar,blue_reliability,blue_ceiling,blue_lines
maize_G2F,DEH1_2018,0.7265055566440091,4.08041939421844,603.0,718.0,1.1901646322842152,1.0693385352012768,1.1907131011608623,0.8922056384742952,0.38876378282495844,0.5124331745806404,0.5900586057456725,0.6449431710704943,0.3999259866644291,1.0,0.15113727883637146,0.2625877584107931,0.7268978446692218,0.8525830426821904,2.769230769230769,,,
maize_G2F,DEH1_2020,1.6542218897859216,2.317686000255634,1144.0,1520.0,1.327849150435143,1.1166876804815553,1.3286713286713288,0.8076923076923077,0.6453529467869874,0.7668439694010798,0.8256221391371993,0.8605774520710753,0.6659760626240842,1.0,0.4164804259266482,0.5880496734068043,0.6455922005742822,0.8034875235959064,2.709090909090909,,,
maize_G2F,DEH1_2021,1.9121544117556355,2.412934913568603,1139.0,1488.0,1.3058858684354744,1.122370214652893,1.3064091308165058,0.7998244073748902,0.6649116452860796,0.7830330985791173,0.8389949352220704,0.871884537003185,0.6861055564361445,1.0,0.4421074960370413,0.6131408334704136,0.7173080001844141,0.8469403758142683,2.530701754385965,,,
maize_G2F,GAH1_2014,2.295594680285679,3.3530489685321525,244.0,477.0,1.9547756468324835,1.9025341130604287,1.9549180327868851,0.05327868852459016,0.6374931404136603,0.7602150627033859,0.8200905265231874,0.8558704311081347,0.752127079982048,1.0,0.4063975040744709,0.5779269415611129,0.5574153571675196,0.7466025429688272,2.0086580086580086,,,
maize_G2F,GAH1_2015,2.4254909034130243,1.9978063800685524,309.0,489.0,1.5819456617002627,1.401360544217687,1.5825242718446602,0.43042071197411,0.7405028950400488,0.8416043187888971,0.8857687861065877,0.9106283331351873,0.7936095077341567,1.0,0.5483445375626936,0.7082978294041236,0.7352054031422224,0.8574411951511441,2.022727272727273,,,
maize_G2F,GAH1_2016,0.9186552630921652,1.4403262087823065,240.0,489.0,2.0373232025053265,2.0125786163522013,2.0375,0.004166666666666667,0.6240422856338893,0.748705239497244,0.8104086365817141,0.8475897563062095,0.7497355227972792,1.0,0.38942877425916866,0.5605595356506254,0.5703458671808385,0.7552124649268168,2.0418410041841004,,,
maize_G2F,GAH1_2017,4.367537397331446,4.048228429388988,139.0,282.0,2.028522972556275,2.004807692307692,2.028776978417266,0.007194244604316547,0.7203963353899723,0.8266311535749613,0.8740499211226224,0.9010389095888547,0.8269452153530217,1.0,0.5189708800433015,0.6833190640606712,0.6894164599556966,0.8303110621662803,2.036231884057971,,,
maize_G2F,GAH1_2018,2.0753611655207695,1.9135576513191705,442.0,507.0,1.1467393005854545,1.073032571312968,1.1470588235294117,0.8687782805429864,0.7213055007253135,0.8273175148848286,0.8745906719458537,0.9014831300575666,0.7333774327152883,1.0,0.5202816253765953,0.6844542704352087,0.7943137588645729,0.8912428170058779,2.1206896551724137,,,
maize_G2F,GAH1_2019,1.6272688704133678,4.198974728997584,475.0,507.0,1.0671610116595511,1.0311143270622287,1.0673684210526315,0.9410526315789474,0.5284882534585342,0.6607910694396328,0.7332105013365113,0.7796585653620196,0.5343303502989205,1.0,0.2792998340436519,0.4366448374511736,0.7148136686814768,0.8454665390667313,2.142857142857143,,,
maize_G2F,GAH1_2020,1.4337070807537453,2.581601275140234,400.0,500.0,1.249624060150376,1.1428571428571428,1.25,0.75,0.5975452022825971,0.7254144357315478,0.7905160864351836,0.8304084370832575,0.6231083920395999,1.0,0.35706026877094993,0.5262261035677199,0.6483040379614137,0.8051732968506927,2.0,,,
maize_G2F,GAH1_2021,1.1727696400906826,1.2858492736438398,400.0,499.0,1.2471258306085857,1.1412268188302426,1.2475,0.7525,0.6906543447852755,0.8036833942683277,0.8557725166351475,0.8859257949281869,0.7141511112569838,1.0,0.4770034239707783,0.6459069982226602,0.7462824233661199,0.8638763935691958,2.0,,,
maize_G2F,GAH2_2016,0.4888539938053182,2.03474897690522,92.0,147.0,1.5958735142408613,1.411764705882353,1.5978260869565217,0.42391304347826086,0.44012807143658206,0.5696972931361179,0.6471945771311053,0.7000420930699487,0.5032639186148254,1.0,0.19371271926648506,0.32455500580661995,0.3732182155872479,0.6109158825789749,2.0377358490566038,,,
